Institution,Program,Level,Accredited
1.,,,
2.,,,
3.,,Online Mode,3
4.,Micro-Certification in Flight Rules and Human Performance,Diploma in Aviation Management,MQA/PA12318
5.,Micro-Certification in Aircraft General Knowledge,Diploma in Aviation Management,MQA/PA12318
6.,Micro-Certification in Navigation and Meteorology,Diploma in Aviation Management,MQA/PA12318
7.,Micro-Certification in Principles and Procedures of Flight,Diploma in Aviation Management,MQA/PA12318
8.,Micro-Certification in Radio Telephony and VFR,Diploma in Aviation Management,MQA/PA12318
9.,Micro-Certification in PPL Flight Training,Diploma in Aviation Management,MQA/PA12318
10.,Micro Award of Introduction to Communication,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
11.,Micro Award of Electrical Machines I,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
12.,Micro Award of Generation and Transmission,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
13.,Micro Award of Instrumentation and Control Systems,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
14.,Micro Award of Moral Studies / Islamic Studies,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
15.,"Micro Award of CAD, Simulation and Drafting",DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
16.,Micro Award of VLSI Techniques,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
17.,Micro Award of Microprocessor and Microcontroller,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
18.,Micro Award of Power Electronics,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
19.,Micro Award of Electrical Machines II,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
20.,Micro Award of Distribution and Utilization,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
21.,Micro Award of Estimation of Electrical Installations,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
22.,Micro Award of Renewable Energy Resources,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
23.,Micro Award of Final Year Project,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
24.,Micro Award of Industrial Management Safety and Ethics,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
25.,Micro Award of Engineering Science,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
26.,Micro Award of Introduction to Computer Programming,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
27.,Micro Award of Mathematics II,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
28.,Micro Award of English 2,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
29.,Micro Award of Electrical Circuits,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
30.,Micro Award of Electronic Devices and Circuits,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
31.,Micro Award of Digital Electronics,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
32.,Micro Award of Principles of Communication Systems,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
33.,Micro Award of Mathematics III,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
34.,Micro Award of Activities,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
