Micro-Certification in Flight Rules and Human Performance,Diploma in Aviation Management,MQA/PA12318,ADMAL Aviation College
Micro-Certification in Aircraft General Knowledge,Diploma in Aviation Management,MQA/PA12318,ADMAL Aviation College
Micro-Certification in Navigation and Meteorology,Diploma in Aviation Management,MQA/PA12318,ADMAL Aviation College
Micro-Certification in Principles and Procedures of Flight,Diploma in Aviation Management,MQA/PA12318,ADMAL Aviation College
Micro-Certification in Radio Telephony and VFR,Diploma in Aviation Management,MQA/PA12318,ADMAL Aviation College
Micro-Certification in PPL Flight Training,Diploma in Aviation Management,MQA/PA12318,ADMAL Aviation College
Micro Award of Introduction to Communication,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Electrical Machines I,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Generation and Transmission,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Instrumentation and Control Systems,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Moral Studies / Islamic Studies,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
"Micro Award of CAD, Simulation and Drafting",DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of VLSI Techniques,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Microprocessor and Microcontroller,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Power Electronics,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Electrical Machines II,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Distribution and Utilization,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Estimation of Electrical Installations,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Renewable Energy Resources,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Final Year Project,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Industrial Management Safety and Ethics,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Engineering Science,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Introduction to Computer Programming,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Mathematics II,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of English 2,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Electrical Circuits,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Electronic Devices and Circuits,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Digital Electronics,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Principles of Communication Systems,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Mathematics III,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Activities,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Robotics,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Mathematics 1,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of English 1,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award of Pengajian Malaysia,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448,AIMST UNIVERSITY
Micro Award in Genetics,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Downstream Processing,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Comparative Genomics,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Bioprocess Technology,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Bio-business,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Aquaculture,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Genetic Engineering,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Proteomics and RNomics,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Pharmacogenomics,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Research Methodology,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Biopython,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Metabolomics,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Molecular modeling,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Medical Biotechnology,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
Micro Award in Laboratory Biorisk Management,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263,AIMST UNIVERSITY
MICRO AWARD IN ACCOUNTING AND FINANCE FOR MANAGERS,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
